,LAT,LON,station,id,interchange
0,1.3331306,103.74209090000001,Jurong East,NS1,True
1,1.3490636,103.74958829999998,Bukit Batok,NS2,False
2,1.359183,103.751852,Bukit Gombak,NS3,False
3,1.3853617,103.74434090000001,Choa Chu Kang,NS4,False
4,1.3973289,103.7475018,Yew Tee,NS5,False
5,1.4252268,103.7620278,Kranji,NS7,False
6,1.4325578,103.77416070000001,Marsiling,NS8,False
7,1.4369416000000002,103.7863953,Woodlands,NS9,False
8,1.4406048999999999,103.800966,Admiralty,NS10,False
9,1.44909,103.820049,Sembawang,NS11,False
10,1.4295483999999998,103.83503320000001,Yishun,NS13,False
11,1.4173483,103.83297309999999,Khatib,NS14,False
12,1.3817217,103.844934,Yio Chu Kang,NS15,False
13,1.3699718,103.84958759999999,Ang Mo Kio,NS16,False
14,1.3508448999999998,103.8481737,Bishan,NS17,True
15,1.3405397,103.8470762,Braddell,NS18,False
16,1.3323296999999998,103.8474252,Toa Payoh,NS19,False
17,1.3200247999999999,103.8433833,Novena,NS20,False
18,1.3137871,103.8380316,Newton,NS21,True
19,1.3040083999999998,103.831781,Orchard,NS22,False
20,1.3004441,103.83843890000001,Somerset,NS23,False
21,1.2990936000000002,103.84578859999999,Dhoby Ghaut,NS24,True
22,1.2930760000000001,103.8520677,City Hall,NS25,True
23,1.2830173,103.8513365,Raffles Place,NS26,True
24,1.2764274,103.8545978,Marina Bay,NS27,False
25,1.2713894,103.8635915,Marina South Pier,NS28,False
0,1.3731912,103.9493534,Pasir Ris,EW1,False
1,1.3544128999999998,103.9432925,Tampines,EW2,True
2,1.3431616000000002,103.95335340000001,Simei,EW3,False
3,1.3272443999999999,103.9464897,Tanah Merah,EW4,False
4,1.3240113000000002,103.9301725,Bedok,EW5,False
5,1.3209998,103.91290390000002,Kembangan,EW6,False
6,1.3197341999999999,103.90288829999999,Eunos,EW7,False
7,1.3181607,103.8931436,Paya Lebar,EW8,True
8,1.3164178,103.8828099,Aljunied,EW9,False
9,1.3114784,103.8713507,Kallang,EW10,False
10,1.3074261,103.862848,Lavender,EW11,False
11,1.3006613999999999,103.8558613,Bugis,EW12,True
14,1.2763419,103.84679240000001,Tanjong Pagar,EW15,False
15,1.2802438,103.83945909999998,Outram Park,EW16,True
16,1.2865018,103.8269778,Tiong Bahru,EW17,False
17,1.2896415,103.81679820000001,Redhill,EW18,False
18,1.2948351999999999,103.8059016,Queenstown,EW19,False
19,1.3023957,103.7983157,Commonwealth,EW20,False
20,1.3072964,103.7901128,Buona Vista,EW21,True
21,1.3113926,103.77860679999999,Dover,EW22,False
22,1.3151606000000002,103.765206,Clementi,EW23,False
24,1.3424249,103.73259240000002,Chinese Garden,EW25,False
25,1.344243,103.72077540000001,Lakeside,EW26,False
26,1.3385559,103.7058277,Boon Lay,EW27,False
27,1.337526,103.69744200000001,Pioneer,EW28,False
28,1.3277513,103.6783178,Joo Koon,EW29,False
29,1.3197555,103.6608303,Gul Circle,EW30,False
30,1.3210266000000002,103.6490755,Tuas Crescent,EW31,False
31,1.3300485,103.6396175,Tuas West Road,EW32,False
32,1.3404966,103.6368206,Tuas Link,EW33,False
0,1.2656038,103.8208568,HarbourFront,NE1,True
2,1.2847875,103.8439312,Chinatown,NE4,True
3,1.2881553999999997,103.8467181,Clarke Quay,NE5,False
5,1.3062896000000002,103.84939190000001,Little India,NE7,True
6,1.3126142,103.85486159999999,Farrer Park,NE8,False
7,1.3200375,103.861623,Boon Keng,NE9,False
8,1.3311575,103.8690734,Potong Pasir,NE10,False
9,1.3391274,103.8707373,Woodleigh,NE11,False
10,1.3497872,103.8736348,Serangoon,NE12,True
11,1.360175,103.8851627,Kovan,NE13,False
12,1.3713312,103.8925439,Hougang,NE14,False
13,1.3829481000000001,103.89335820000001,Buangkok,NE15,False
14,1.3916608999999998,103.8954533,Sengkang,NE16,False
15,1.40517,103.9023559,Punggol,NE17,False
1,1.2969461000000002,103.85073659999999,Bras Basah,CC2,False
2,1.2939413,103.8553744,Esplanade,CC3,False
3,1.2939988000000002,103.86017729999999,Promenade,CC4,True
4,1.3002063,103.86347070000001,Nicoll Highway,CC5,False
5,1.3027829,103.8754063,Stadium,CC6,False
6,1.30841,103.888814,Mountbatten,CC7,False
7,1.30841,103.888814,Dakota,CC8,False
9,1.3267049,103.88988979999999,MacPherson,CC10,True
10,1.3358756,103.88771640000002,Tai Seng,CC11,False
11,1.3428695,103.87963859999999,Bartley,CC12,False
13,1.3514978000000002,103.8649467,Lorong Chuan,CC14,False
15,1.3490142,103.8390947,Marymount,CC16,False
16,1.3375953,103.8396058,Caldecott,CC17,False
17,1.3223117,103.8149268,Botanic Gardens,CC19,True
18,1.3175741,103.807711,Farrer Road,CC20,False
19,1.3111457,103.79614079999999,Holland Village,CC21,False
21,1.2998113000000002,103.7875947,one-north,CC23,False
22,1.2935861000000002,103.78445129999999,Kent Ridge,CC24,False
23,1.2831059999999999,103.78197990000001,Haw Par Villa,CC25,False
24,1.2760684,103.7919037,Pasir Panjang,CC26,False
25,1.2721258999999998,103.80255749999999,Labrador Park,CC27,False
26,1.2707152,103.809878,Telok Blangah,CC28,False
0,1.3789690000000001,103.76135699999999,Bukit Panjang,DT1,True
1,1.3699756,103.76457940000002,Cashew,DT2,False
2,1.3630566000000002,103.7673821,Hillview,DT3,False
3,1.3415532,103.77574659999999,Beauty World,DT5,False
4,1.3356883999999998,103.78319259999999,King Albert Park,DT6,False
5,1.3311776000000002,103.7972016,Sixth Avenue,DT7,False
6,1.3257996,103.8079556,Tan Kah Kee,DT8,False
8,1.3199584,103.8259427,Stevens,DT10,False
11,1.3035362,103.85255959999999,Rochor,DT13,False
14,1.2813386,103.8589551,Bayfront,DT16,False
15,1.2794576000000002,103.85281280000001,Downtown,DT17,False
16,1.2822209999999998,103.8485947,Telok Ayer,DT18,False
18,1.2923729,103.8441101,Fort Canning,DT20,False
19,1.2990136,103.8505193,Bencoolen,DT21,False
20,1.3055083,103.85543249999999,Jalan Besar,DT22,False
21,1.3136206,103.8630656,Bendemeer,DT23,False
22,1.3213087,103.8713815,Geylang Bahru,DT24,False
23,1.3272214,103.8828949,Mattar,DT25,False
25,1.3298687,103.900048,Ubi,DT27,False
26,1.334927,103.90901600000001,Kaki Bukit,DT28,False
27,1.3351391000000001,103.918397,Bedok North,DT29,False
28,1.3365418,103.9330916,Bedok Reservoir,DT30,False
29,1.345626,103.9382185,Tampines West,DT31,False
31,1.3563083,103.95465109999999,Tampines East,DT33,False
32,1.3421646999999999,103.961505,Upper Changi,DT34,False
33,1.3344041000000002,103.96148070000001,Expo,DT35,False
